,symbol,profile
description,CMCSA,"Comcast Corp is a media and technology company. It mainly involves in the cable industry and owns Comcast Cable, E!, NBCUniversal, and the NBC broadcast network."
exchange,CMCSA,Nasdaq Global Select
industry,CMCSA,Entertainment
sector,CMCSA,Consumer Cyclical
website,CMCSA,https://corporate.comcast.com
ceo,CMA,Ralph W. Babb
companyName,CMA,Comerica Incorporated
description,CMA,"Comerica Inc is a financial services company. It operates in three business segments, The Business Bank, The Retail Bank, and Wealth Management. It operates in geographic markets including Michigan, California and Texas, Arizona and Florida."
exchange,CMA,New York Stock Exchange
industry,CMA,Banks
sector,CMA,Financial Services
website,CMA,https://www.comerica.com
ceo,CAG,Sean M. Connolly
companyName,CAG,ConAgra Brands Inc.
description,CAG,"Conagra Brands Inc is in the business of trading and merchandising packaged food in a variety of categories and in various retail channels across frozen, refrigerated, and shelf-stable temperature classes in North America."
exchange,CAG,New York Stock Exchange
industry,CAG,Consumer Packaged Goods
sector,CAG,Consumer Defensive
website,CAG,http://www.conagrabrands.com
ceo,CXO,Timothy A. Leach
companyName,CXO,Concho Resources Inc.
description,CXO,"Concho Resources Inc is an oil and natural gas company. It is engaged in the acquisition, development, exploitation and exploration of producing oil and natural gas properties. It operates in the Delaware Basin."
exchange,CXO,New York Stock Exchange
industry,CXO,Oil & Gas - E&P
sector,CXO,Energy
website,CXO,http://www.concho.com
ceo,COP,Ryan M. Lance
companyName,COP,ConocoPhillips
description,COP,ConocoPhillips operates in the oil & gas sector. Its primary business involves exploration and production of crude oil and natural gas.
exchange,COP,New York Stock Exchange
industry,COP,Oil & Gas - E&P
sector,COP,Energy
website,COP,http://www.conocophillips.com
ceo,ED,John McAvoy
companyName,ED,Consolidated Edison Inc.
description,ED,"Consolidated Edison Inc functions in the utilities market. It owns energy infrastructure projects and its main business operations are its regulated electric, gas and steam delivery businesses. The CECONY segment generates maximum revenue."
exchange,ED,New York Stock Exchange
industry,ED,Utilities - Regulated
sector,ED,Utilities
website,ED,https://www.conedison.com
ceo,STZ,Robert Sands
companyName,STZ,Constellation Brands Inc.
description,STZ,"Constellation Brands Inc is engaged in the beverage industry. Its core products are alcoholic drinks such as beers, wines and other spirits."
exchange,STZ,New York Stock Exchange
industry,STZ,Beverages - Alcoholic
sector,STZ,Consumer Defensive
website,STZ,http://www.cbrands.com
ceo,COO,Robert S. Weiss
companyName,COO,The Cooper Companies Inc.
description,COO,The Cooper Companies Inc is a medical device company operating through its subsidiaries. It manufactures products for contact lens wearers and supplies women's health clinicians with products and treatment options to improve the delivery of healthcare.
exchange,COO,New York Stock Exchange
industry,COO,Medical Instruments & Equipment
sector,COO,Healthcare
website,COO,http://www.coopercos.com
ceo,CPRT,
companyName,CPRT,Copart Inc.
description,CPRT,"Copart Inc provides online auctions and vehicle remarketing services in United States, Canada, United Kingdom and Brazil. The company offers vehicle sellers with services to process and sell vehicles over the internet."
exchange,CPRT,Nasdaq Global Select
industry,CPRT,Autos
sector,CPRT,Consumer Cyclical
website,CPRT,http://www.copart.com
ceo,GLW,Wendell P. Weeks
companyName,GLW,Corning Incorporated
description,GLW,"Corning Inc is the leading manufacturer and supplier of specialty glass and ceramics. Its segments are Display Technologies, Optical Communications, Environmental Technologies, Specialty Materials and Life Sciences."
exchange,GLW,New York Stock Exchange
industry,GLW,Computer Hardware
sector,GLW,Technology
website,GLW,http://www.corning.com
ceo,COST,W. Craig Jelinek
companyName,COST,Costco Wholesale Corporation
description,COST,Costco Wholesale Corp and its subsidiaries operate membership warehouses. The company offers its members low prices on a limited selection of nationally branded and select private-label products in merchandise categories.
exchange,COST,Nasdaq Global Select
industry,COST,Retail - Defensive
sector,COST,Consumer Defensive
website,COST,http://www.costco.com
ceo,COTY,Camillo Pane
companyName,COTY,Coty Inc. Class A
description,COTY,"Coty Inc is an American cosmetics company. Its products include fragrances, color cosmetics, hair, body and skin care products. The company markets its products under Calvin Klein, Chloe, Clairol, Marc Jacobs, Wella, Rimmel, and Bourjois brands worldwide."
exchange,COTY,New York Stock Exchange
industry,COTY,Consumer Packaged Goods
sector,COTY,Consumer Defensive
website,COTY,http://www.coty.com
ceo,CCI,Jay A. Brown
companyName,CCI,Crown Castle International Corp. (REIT)
description,CCI,"Crown Castle International Corp operates wireless tower communication sites in the United States. It owns, operates and leases shared wireless infrastructure, including towers and other structures. Site rental generates maximum revenue for the company."
exchange,CCI,New York Stock Exchange
industry,CCI,REITs
sector,CCI,Real Estate
website,CCI,http://www.crowncastle.com
ceo,CSX,James M. Foote
companyName,CSX,CSX Corporation
description,CSX,"CSX Corp is a railroad operating company with operations spread across the Eastern United States. The company hauls shipments of coal products, chemicals, intermodal containers, and a diverse mix of other merchandise."
exchange,CSX,Nasdaq Global Select
industry,CSX,Transportation & Logistics
sector,CSX,Industrials
website,CSX,http://www.csx.com
ceo,CMI,N. Thomas Linebarger
companyName,CMI,Cummins Inc.
description,CMI,"Cummins Inc designs, manufactures, distributes, and services diesel and natural gas engines and engine-related component products, including filtration, after treatment, turbochargers, fuel systems, controls systems, air handling systems, and others."
exchange,CMI,New York Stock Exchange
industry,CMI,Industrial Products
sector,CMI,Industrials
website,CMI,http://www.cummins.com
ceo,CVS,Larry J. Merlo
companyName,CVS,CVS Health Corporation
description,CVS,"CVS Health Corp operates in the healthcare sector. Its primary business is that of operating retail pharmacies. The company has three reportable segments namely Pharmacy Services, Retail/LTC, and Corporate."
exchange,CVS,New York Stock Exchange
industry,CVS,Health Care Plans
sector,CVS,Healthcare
website,CVS,http://www.cvshealth.com
ceo,DHI,David V. Auld
companyName,DHI,D.R. Horton Inc.
description,DHI,"D.R. Horton Inc is a residential homebuilder. It constructs for the purpose of sale, homes in the states and metropolitan markets of the United States, under the names of D.R. Horton, America's Builder, Emerald Homes and Breland Homes."
exchange,DHI,New York Stock Exchange
industry,DHI,Homebuilding & Construction
sector,DHI,Consumer Cyclical
website,DHI,http://www.drhorton.com
ceo,DHR,Thomas P. Joyce
companyName,DHR,Danaher Corporation
description,DHR,"Danaher Corp designs, manufactures and markets professional, medical, industrial and commercial products and services. It markets its products under the brand of Beckman Coulter, Aperio, Dexis, Chemtreat and others."
exchange,DHR,New York Stock Exchange
industry,DHR,Medical Diagnostics & Research
sector,DHR,Healthcare
website,DHR,http://www.danaher.com
ceo,DRI,
companyName,DRI,Darden Restaurants Inc.
description,DRI,"Darden Restaurants Inc is engaged in the food & beverage industry. Its primary occupation involves the operation of dining restaurants under trade names such as Olive Garden, LongHorn Steakhouse and Bahama Breeze."
exchange,DRI,New York Stock Exchange
industry,DRI,Restaurants
sector,DRI,Consumer Cyclical
website,DRI,http://www.darden.com
ceo,DVA,Kent J. Thiry
companyName,DVA,DaVita Inc.
description,DVA,DaVita Inc is engaged in operating kidney dialysis centers and providing related lab services in dialysis centers and in contracted hospitals across USA. It also operates other ancillary services and strategic initiatives.
exchange,DVA,New York Stock Exchange
industry,DVA,Health Care Providers
sector,DVA,Healthcare
website,DVA,http://www.davita.com
ceo,DE,Samuel R. Allen
companyName,DE,Deere & Company
description,DE,"Deere & Co is engaged in manufacturing agricultural, construction, turf, and forestry machinery. It also provides secured and lease-based financing to support dealer inventory and customer purchases."
exchange,DE,New York Stock Exchange
industry,DE,Farm & Construction Machinery
sector,DE,Industrials
website,DE,http://www.deere.com
ceo,DAL,Edward H. Bastian
companyName,DAL,Delta Air Lines Inc.
description,DAL,Delta Air Lines Inc provides scheduled air transportation for passengers and cargo throughout the United States and across the world.
exchange,DAL,New York Stock Exchange
industry,DAL,Airlines
sector,DAL,Industrials
website,DAL,http://www.delta.com
ceo,XRAY,Donald M. Casey
companyName,XRAY,DENTSPLY SIRONA Inc.
description,XRAY,"Dentsply Sirona Inc is a designer, developer, manufacturer and marketer of consumable dental products for the professional dental market. It also manufactures and markets other consumable medical device products."
exchange,XRAY,Nasdaq Global Select
industry,XRAY,Medical Instruments & Equipment
sector,XRAY,Healthcare
website,XRAY,http://www.dentsply.com
ceo,DVN,David A. Hager
companyName,DVN,Devon Energy Corporation
description,DVN,"Devon Energy Corp is engaged in the oil & gas sector. It is an independent energy company involved in the exploration, development and production of oil, natural gas and NGLs."
exchange,DVN,New York Stock Exchange
industry,DVN,Oil & Gas - E&P
sector,DVN,Energy
website,DVN,http://www.devonenergy.com
ceo,FANG,Travis D. Stice
companyName,FANG,Diamondback Energy Inc.
description,FANG,Diamondback Energy Inc is an independent oil and gas producer in the United States. The company operates exclusively in the Permian (Midland) Basin.
exchange,FANG,Nasdaq Global Select
industry,FANG,Oil & Gas - E&P
sector,FANG,Energy
website,FANG,http://www.diamondbackenergy.com
ceo,DLR,A. William Stein
companyName,DLR,Digital Realty Trust Inc.
description,DLR,Digital Realty Trust Inc is a real estate investment trust. It owns and operates IT-related properties includes datacenter infrastructure that supports the applications and day-to-day operations of social networking and mobile communications.
exchange,DLR,New York Stock Exchange
industry,DLR,REITs
sector,DLR,Real Estate
website,DLR,http://www.digitalrealtytrust.com
ceo,DFS,David W. Nelms
companyName,DFS,Discover Financial Services
description,DFS,"Discover Financial Services is engaged in direct consumer banking business. It mainly provides banking services such as accepting deposits, offering credit card, residential mortgage, loans and other banking facilities to its customers."
exchange,DFS,New York Stock Exchange
industry,DFS,Credit Services
sector,DFS,Financial Services
website,DFS,http://www.discover.com
ceo,DISCA,David M. Zaslav
companyName,DISCA,Discovery Communications Inc. Series A Common Stock
description,DISCA,Discovery Communications Inc is a media and entertainment company. It provides programming across multiple distribution platforms. The company also provides educational products and services to schools and operates digital media services.
exchange,DISCA,Nasdaq Global Select
industry,DISCA,Entertainment
sector,DISCA,Consumer Cyclical
website,DISCA,http://www.discoverycommunications.com
ceo,DISCK,David M. Zaslav
companyName,DISCK,Discovery Communications Inc.
description,DISCK,Discovery Communications Inc is a media and entertainment company. It provides programming across multiple distribution platforms. The company also provides educational products and services to schools and operates digital media services.
exchange,DISCK,Nasdaq Global Select
industry,DISCK,Entertainment
sector,DISCK,Consumer Cyclical
website,DISCK,http://www.discoverycommunications.com
ceo,DISH,W. Erik Carlson
companyName,DISH,DISH Network Corporation
description,DISH,DISH Network Corp provides a direct broadcast satellite subscription television service in the United States. It offers pay-TV services under the DISH brand and the Sling brand.
exchange,DISH,Nasdaq Global Select
industry,DISH,Communication Services
sector,DISH,Communication Services
website,DISH,http://www.dish.com
ceo,DG,Todd J. Vasos
companyName,DG,Dollar General Corporation
description,DG,"Dollar General Corp is a discount retailer in the United States. It offers a selection of merchandise, including consumables, seasonal, home products and apparel."
exchange,DG,New York Stock Exchange
industry,DG,Retail - Defensive
sector,DG,Consumer Defensive
website,DG,http://www.dollargeneral.com
ceo,DLTR,Gary M. Philbin
companyName,DLTR,Dollar Tree Inc.
description,DLTR,"Dollar Tree Inc operates discount retail stores in the United States and Canada. It operates the stores under the names of Dollar Tree, Family Dollar and Dollar Tree Canada."
exchange,DLTR,Nasdaq Global Select
industry,DLTR,Retail - Defensive
sector,DLTR,Consumer Defensive
website,DLTR,http://www.dollartree.com
ceo,D,Thomas F. Farrell
companyName,D,Dominion Energy Inc.
description,D,"Dominion Energy Inc is a producer and transporter of energy. It manages its daily operations through three operating segments namely Dominion Virginia Power of DVP, Dominion Energy and Dominion Generation."
exchange,D,New York Stock Exchange
industry,D,Utilities - Regulated
sector,D,Utilities
website,D,http://www.dominionenergy.com
ceo,DOV,Robert A. Livingston
companyName,DOV,Dover Corporation
description,DOV,"Dover Corp is a multi-business operator in North America. It has footprint in engineered systems, energy, fluids and refrigeration and food equipment businesses."
exchange,DOV,New York Stock Exchange
industry,DOV,Industrial Products
sector,DOV,Industrials
website,DOV,http://www.dovercorporation.com
ceo,DTE,Gerard M. Anderson
companyName,DTE,DTE Energy Company
description,DTE,DTE Energy Co operates in the utilities sector. The company mainly involves in the business of power generation. It also provides natural gas distribution services.
exchange,DTE,New York Stock Exchange
industry,DTE,Utilities - Regulated
sector,DTE,Utilities
website,DTE,http://www.dteenergy.com
ceo,DUK,Lynn J. Good
companyName,DUK,Duke Energy Corporation (Holding Company)
description,DUK,Duke Energy Corp operates regulates utilities across the US. The company distributes electricity and gas to its customers and engages in three segments: electric utilities and infrastructure; gas utilities and infrastructure; and commercial renewables.
exchange,DUK,New York Stock Exchange
industry,DUK,Utilities - Regulated
sector,DUK,Utilities
website,DUK,http://www.duke-energy.com
ceo,DRE,James B. Connor
companyName,DRE,Duke Realty Corporation
description,DRE,"Duke Realty Corp is a self-administered and self-managed REIT. The company is engaged in the ownership, management and development of industrial and medical office real estate. It also provides real estate services to third-party owners."
exchange,DRE,New York Stock Exchange
industry,DRE,REITs
sector,DRE,Real Estate
website,DRE,http://www.dukerealty.com
ceo,DXC,J. Michael Lawrie
companyName,DXC,DXC Technology Company
description,DXC,"DXC Technology Co is an independent, end-to-end IT services company. It provides information technology and consulting services and solutions to enterprise clients."
exchange,DXC,New York Stock Exchange
industry,DXC,Application Software
sector,DXC,Technology
website,DXC,http://www.dxc.technology
ceo,ETFC,Karl A. Roessner
companyName,ETFC,E*TRADE Financial Corporation
description,ETFC,E*TRADE Financial Corp is a financial services company. It provides brokerage and related products and services to individual retail investors. It also provides investor-focused banking products and sweep deposits to retail investors.
exchange,ETFC,Nasdaq Global Select
industry,ETFC,Brokers & Exchanges
sector,ETFC,Financial Services
website,ETFC,https://www.etrade.com
ceo,EMN,Mark J. Costa
companyName,EMN,Eastman Chemical Company
description,EMN,"Eastman Chemical Co is a advanced materials and specialty additives company that is engaged in producing and selling a portfolio of chemicals, plastics and fibers."
exchange,EMN,New York Stock Exchange
industry,EMN,Chemicals
sector,EMN,Basic Materials
website,EMN,http://www.eastman.com
ceo,ETN,Craig Arnold
companyName,ETN,Eaton Corporation PLC
description,ETN,"Eaton Corp PLC is a power management company. It provides energy-efficient solutions that help its customers effectively manage electrical, hydraulic and mechanical power. Eaton's products include UPS systems, cylinders, circuit breakers, among others."
exchange,ETN,New York Stock Exchange
industry,ETN,Industrial Products
sector,ETN,Industrials
website,ETN,http://www.eaton.com
ceo,EBAY,Devin N. Wenig
companyName,EBAY,eBay Inc.
description,EBAY,"eBay Inc is a commerce platform and provides online marketplace for sale of goods. Its marketplace platforms include its online marketplace located at www.ebay.com, its localized counterparts and the eBay mobile apps."
exchange,EBAY,Nasdaq Global Select
industry,EBAY,Retail - Apparel & Specialty
sector,EBAY,Consumer Cyclical
website,EBAY,http://www.ebay.com
ceo,ECL,Douglas M. Baker
companyName,ECL,Ecolab Inc.
description,ECL,"Ecolab Inc produces and markets cleaning and sanitation products for the hospitality, healthcare, and industrial markets. It offers a variety of products and services, which include dish and laundry washing systems, pest control, and repair services."
exchange,ECL,New York Stock Exchange
industry,ECL,Chemicals
sector,ECL,Basic Materials
website,ECL,http://www.ecolab.com
ceo,EIX,Pedro J. Pizarro
companyName,EIX,Edison International
description,EIX,"Edison International is engaged in the utilities sector. The company's business mainly involves generation and distribution of electric power. It also invests in infrastructure and energy assets, including renewable energy."
exchange,EIX,New York Stock Exchange
industry,EIX,Utilities - Regulated
sector,EIX,Utilities
website,EIX,http://www.edison.com
ceo,EW,Michael A. Mussallem
companyName,EW,Edwards Lifesciences Corporation
description,EW,Edwards Lifesciences Corp is a part of the healthcare sector. The company specializes in the treatment of structural heart disease. It manufactures heart valves and repair products used to replace or repair a patient's diseased or defective heart valve.
exchange,EW,New York Stock Exchange
industry,EW,Medical Devices
sector,EW,Healthcare
website,EW,http://www.edwards.com
ceo,EA,Andrew Wilson
companyName,EA,Electronic Arts Inc.
description,EA,"Electronic Arts Inc operates in the technology sector. It develops, markets, publishes and distributes video game software and content of various platforms."
exchange,EA,Nasdaq Global Select
industry,EA,Application Software
sector,EA,Technology
website,EA,http://www.ea.com
ceo,EMR,
companyName,EMR,Emerson Electric Company
description,EMR,"Emerson Electric Co is engaged in designing and supplying products and technology, and delivering engineering services and solutions in industrial, commercial and consumer markets."
exchange,EMR,New York Stock Exchange
industry,EMR,Industrial Products
sector,EMR,Industrials
website,EMR,http://www.emerson.com
ceo,ETR,Leo P. Denault
companyName,ETR,Entergy Corporation
description,ETR,"Entergy Corp is an energy company. It is engaged in electric power production and retail electric distribution operations in portions of Arkansas, Mississippi, Texas, and Louisiana, including the City of New Orleans."
exchange,ETR,New York Stock Exchange
industry,ETR,Utilities - Regulated
sector,ETR,Utilities
website,ETR,http://www.entergy.com
ceo,EOG,William Thomas
companyName,EOG,EOG Resources Inc.
description,EOG,"EOG Resources Inc explores, develops, produces and markets crude oil and natural gas in the USA, Trinidad and Tobago, United Kingdom, China, Argentina and, from time to time, select other international areas."
exchange,EOG,New York Stock Exchange
industry,EOG,Oil & Gas - E&P
sector,EOG,Energy
website,EOG,http://www.eogresources.com
ceo,EFX,Paulino R. Barros
companyName,EFX,Equifax Inc.
description,EFX,"Equifax Inc provides information solutions and human resources business process outsourcing services for businesses, governments and consumers. It also provides database management, fraud detection, marketing, business credit, and analytical services."
exchange,EFX,New York Stock Exchange
industry,EFX,Business Services
sector,EFX,Industrials
website,EFX,http://www.equifax.com
ceo,EQIX,Peter F. Van Camp
companyName,EQIX,Equinix Inc.
description,EQIX,"Equinix Inc is a network-neutral provider of retail data center, co-location, and interconnection services. Its client base includes network services firms, cloud and IT service providers, financial service firms, digital, and media content providers."
exchange,EQIX,Nasdaq Global Select
industry,EQIX,Online Media
sector,EQIX,Technology
website,EQIX,http://www.equinix.com
ceo,EQR,David J. Neithercut
companyName,EQR,Equity Residential of Beneficial Interest
description,EQR,"Equity Residential is a real estate investment trust which is focused on the acquisition, development and management of rental apartment properties in urban and high-density suburban coastal gateway markets in the US."
exchange,EQR,New York Stock Exchange
industry,EQR,REITs
sector,EQR,Real Estate
website,EQR,http://www.eqr.com
ceo,ESS,Michael J. Schall
companyName,ESS,Essex Property Trust Inc.
description,ESS,"Essex Property Trust Inc owns and develops multifamily apartments. Its portfolio comprises of garden-style, midrise, and high-rise multifamily assets in the United States."
exchange,ESS,New York Stock Exchange
industry,ESS,REITs
sector,ESS,Real Estate
website,ESS,http://www.essex.com
ceo,EL,Fabrizio Freda
companyName,EL,Estee Lauder Companies Inc. (The)
description,EL,"The Estee Lauder Companies Inc is a beauty products manufacturer providing Skin care, Makeup, Fragrance and Hair care services."
exchange,EL,New York Stock Exchange
industry,EL,Consumer Packaged Goods
sector,EL,Consumer Defensive
website,EL,http://www.elcompanies.com
ceo,ES,James J. Judge
companyName,ES,Eversource Energy (D/B/A)
description,ES,"Eversource Energy is a public utility holding company, which is engaged in the energy delivery business. The company operates through electric distribution, electric transmission and natural gas distribution segments."
exchange,ES,New York Stock Exchange
industry,ES,Utilities - Regulated
sector,ES,Utilities
website,ES,https://www.eversource.com
ceo,RE,Dominic J. Addesso
companyName,RE,Everest Re Group Ltd.
description,RE,Everest Re Group Ltd is engaged in the insurance business. Its offering comprises of property and casualty reinsurance & insurance products and services.
exchange,RE,New York Stock Exchange
industry,RE,Insurance - Specialty
sector,RE,Financial Services
website,RE,http://www.everestregroup.com
ceo,EXC,Christopher M. Crane
companyName,EXC,Exelon Corporation
description,EXC,Exelon Corp is a power retailer engaged in the utilities sector of United States. The company involves in the power generation and transmission activities. The Generation segment generates maximum revenue for the company.
exchange,EXC,New York Stock Exchange
industry,EXC,Utilities - Regulated
sector,EXC,Utilities
website,EXC,http://www.exeloncorp.com
ceo,EXPE,Mark D. Okerstrom
companyName,EXPE,Expedia Inc.
description,EXPE,"Expedia Inc is an online travel company. It offers holiday packages, rental cars, cruises, as well as destination services and activities. The Core OTA segment generates maximum revenue for the company."
exchange,EXPE,Nasdaq Global Select
industry,EXPE,Travel & Leisure
sector,EXPE,Consumer Cyclical
website,EXPE,http://www.expedia.com
ceo,EXPD,Jeffrey S. Musser
companyName,EXPD,Expeditors International of Washington Inc.
description,EXPD,Expeditors International of Washington Inc is a third-party logistics provider focused on international freight forwarding. The firm operates more than 150 full-service office locations worldwide.
exchange,EXPD,Nasdaq Global Select
industry,EXPD,Transportation & Logistics
sector,EXPD,Industrials
website,EXPD,http://www.expeditors.com
ceo,EXR,Joseph D. Margolis
companyName,EXR,Extra Space Storage Inc
description,EXR,"Extra Space Storage Inc is a fully integrated, self-administered and self-managed real estate investment trust. It owns, operates, manages, acquires, develops and redevelops professionally managed self-storage facilities."
exchange,EXR,New York Stock Exchange
industry,EXR,REITs
sector,EXR,Real Estate
website,EXR,http://www.extraspace.com
ceo,XOM,Darren W. Woods
companyName,XOM,Exxon Mobil Corporation
description,XOM,"Exxon Mobil Corp is an integrated oil and gas company. It is engaged in exploration for, and production of, crude oil and natural gas. It is also engaged in manufacturing, transportation and sale of crude oil, natural gas and petroleum products."
exchange,XOM,New York Stock Exchange
industry,XOM,Oil & Gas - Integrated
sector,XOM,Energy
website,XOM,http://www.corporate.exxonmobil.com
ceo,FFIV,Francois Locoh-Donou
companyName,FFIV,F5 Networks Inc.
description,FFIV,"F5 Networks Inc provides software-defined application services designed to ensure that applications delivered over Internet Protocol networks are available to any user, anywhere, anytime, on any device and on any network."
exchange,FFIV,Nasdaq Global Select
industry,FFIV,Application Software
sector,FFIV,Technology
website,FFIV,http://www.f5.com
ceo,FB,Mark Zuckerberg
companyName,FB,Facebook Inc.
description,FB,"Facebook Inc is the world's largest online social network. Its products are Facebook, Instagram, Messenger, WhatsApp, and Oculus. Its products enable people to connect and share through mobile devices and personal computers."
exchange,FB,Nasdaq Global Select
industry,FB,Online Media
sector,FB,Technology
website,FB,http://www.facebook.com
ceo,FAST,Daniel L. Florness
companyName,FAST,Fastenal Company
description,FAST,"Fastenal Co is an industrial supplies company. It distributes maintains, repairs, and operates supplies to industrial and construction customers. Its product portfolio includes OEM fasteners, safety products, tools and equipment."
exchange,FAST,Nasdaq Global Select
industry,FAST,Industrial Distribution
sector,FAST,Industrials
website,FAST,http://www.fastenal.com
ceo,FRT,Donald C. Wood
companyName,FRT,Federal Realty Investment Trust
description,FRT,"Federal Realty Investment Trust is an equity real estate investment trust specializing in the ownership, management, and redevelopment of retail and mixed-use properties located primarily in densely populated and affluent communities."
exchange,FRT,New York Stock Exchange
industry,FRT,REITs
sector,FRT,Real Estate
website,FRT,http://www.federalrealty.com
ceo,FDX,Frederick W. Smith
companyName,FDX,FedEx Corporation
description,FDX,"FedEx Corp is the world's largest express courier delivery firm. The company provides courier services through various divisions which include express, ground, office, freight, cross border, trade networks and supply chain."
exchange,FDX,New York Stock Exchange
industry,FDX,Transportation & Logistics
sector,FDX,Industrials
website,FDX,http://www.fedex.com
ceo,FIS,Gary A. Norcross
companyName,FIS,Fidelity National Information Services Inc.
description,FIS,"Fidelity National Information Services Inc offers a range of solutions in retail and institutional banking, payments, asset and wealth management, risk and compliance, treasury and insurance and provides consulting and outsourcing services."
exchange,FIS,New York Stock Exchange
industry,FIS,Application Software
sector,FIS,Technology
website,FIS,http://www.fisglobal.com
ceo,FITB,Greg D. Carmichael
companyName,FITB,Fifth Third Bancorp
description,FITB,"Fifth Third Bancorp provides banking products and services. The company offers checking, savings and money market accounts and credit products. Its segments are Commercial Banking, Branch Banking, Consumer Lending and Wealth and Asset Management."
exchange,FITB,Nasdaq Global Select
industry,FITB,Banks
sector,FITB,Financial Services
website,FITB,http://www.53.com
ceo,FE,Charles E. Jones
companyName,FE,FirstEnergy Corporation
description,FE,"FirstEnergy Corp is a diversified energy company. It is involved in the generation, transmission and distribution of electricity. It operates in segments such as Regulated Distribution, Regulated Transmission and CES."
exchange,FE,New York Stock Exchange
industry,FE,Utilities - Regulated
sector,FE,Utilities
website,FE,http://www.firstenergycorp.com
ceo,FRC,James Herbert
companyName,FRC,FIRST REPUBLIC BANK
description,FRC,"First Republic Bank is engaged in providing personalized, relationship-based services, including private banking, private business banking, real estate lending and wealth management services, including trust and custody services."
exchange,FRC,New York Stock Exchange
industry,FRC,Banks
sector,FRC,Financial Services
website,FRC,http://www.firstrepublic.com
ceo,FISV,Jeffery W. Yabuki
companyName,FISV,Fiserv Inc.
description,FISV,Fiserv Inc is a business solutions provider. Its service offering primarily includes electronic processing services.
exchange,FISV,Nasdaq Global Select
industry,FISV,Business Services
sector,FISV,Industrials
website,FISV,http://www.fiserv.com
ceo,FLT,Ronald Clarke
companyName,FLT,FleetCor Technologies Inc.
description,FLT,"Fleetcor Technologies, Inc. provides fuel cards, commercial payment and data solutions, lodging and transportation management services, stored value solutions, and workforce payment products and services to businesses, retailers, and commercial fleets."
exchange,FLT,New York Stock Exchange
industry,FLT,Business Services
sector,FLT,Industrials
website,FLT,http://www.fleetcor.com
ceo,FLIR,James J. Cannon
companyName,FLIR,FLIR Systems Inc.
description,FLIR,FLIR Systems Inc is engaged in the scientific instrument industry. It develops detection apparatus such as thermal imaging systems and visible-light imaging systems.
exchange,FLIR,Nasdaq Global Select
industry,FLIR,Computer Hardware
sector,FLIR,Technology
website,FLIR,http://www.flir.com
ceo,FLS,R. Scott Rowe
companyName,FLS,Flowserve Corporation
description,FLS,"Flowserve Corp is a manufacturer and aftermarket service provider of comprehensive flow control systems. It develops and manufactures precision-engineered flow control equipment integral to the movement, control and protection of the flow of materials."
exchange,FLS,New York Stock Exchange
industry,FLS,Industrial Products
sector,FLS,Industrials
website,FLS,http://www.flowserve.com
ceo,FMC,Pierre R. Brondeau
companyName,FMC,FMC Corporation
description,FMC,"FMC Corp is a diversified chemical company that serves agricultural, consumer and industrial markets internationally with solutions, applications and products. It also produces health and nutrition products, as well as lithium derivatives."
exchange,FMC,New York Stock Exchange
industry,FMC,Agriculture
sector,FMC,Basic Materials
website,FMC,http://www.fmc.com
ceo,F,James P. Hackett
companyName,F,Ford Motor Company
description,F,"Ford Motor Co manufactures, markets, and services Ford cars, trucks, sport utility vehicles, electronic vehicles, and Lincoln luxury vehicles. It also provides financial services through Ford Motor Credit Company."
exchange,F,New York Stock Exchange
industry,F,Autos
sector,F,Consumer Cyclical
website,F,http://www.ford.com
ceo,FTNT,Ken Xie
companyName,FTNT,Fortinet Inc.
description,FTNT,"Fortinet Inc software solutions provider. The company develops and sells a portfolio of security software products which includes firewall, threat detection, WLAN and switching, application security, identity and access management."
exchange,FTNT,Nasdaq Global Select
industry,FTNT,Application Software
sector,FTNT,Technology
website,FTNT,http://www.fortinet.com
ceo,FTV,James A. Lico
companyName,FTV,Fortive Corporation
description,FTV,"Fortive Corp is a United States based company diversified industrial growth company. It has two business segments namely, Professional Instrumentation and Industrial Technologies."
exchange,FTV,New York Stock Exchange
industry,FTV,Computer Hardware
sector,FTV,Technology
website,FTV,http://www.fortive.com
ceo,FBHS,Christopher J. Klein
companyName,FBHS,Fortune Brands Home & Security Inc.
description,FBHS,"Fortune Brands Home & Security Inc is a leading home and security products company. It operates four business segments; through which it sells branded products such as cabinets and vanities, sells faucets, showers, locks and security devices, and doors."
exchange,FBHS,New York Stock Exchange
industry,FBHS,Manufacturing - Apparel & Furniture
sector,FBHS,Consumer Cyclical
website,FBHS,http://www.fbhs.com
ceo,FOXA,James R. Murdoch
companyName,FOXA,Twenty-First Century Fox Inc.
description,FOXA,"Twenty-First Century Fox Inc is a diversified media and entertainment company. It operates in various business segments namely Cable Network Programming, Television, Filmed Entertainment, and Direct Broadcast Satellite Television."
exchange,FOXA,Nasdaq Global Select
industry,FOXA,Entertainment
sector,FOXA,Consumer Cyclical
website,FOXA,http://www.21cf.com
ceo,FOX,James R. Murdoch
companyName,FOX,Twenty-First Century Fox Inc.
description,FOX,"Twenty-First Century Fox Inc is a diversified media and entertainment company. It operates in various business segments namely Cable Network Programming, Television, Filmed Entertainment, and Direct Broadcast Satellite Television."
exchange,FOX,Nasdaq Global Select
industry,FOX,Entertainment
sector,FOX,Consumer Cyclical
website,FOX,http://www.21cf.com
ceo,BEN,Gregory E. Johnson
companyName,BEN,Franklin Resources Inc.
