,symbol,profile
description,ALXN,Alexion Pharmaceuticals Inc is a biopharmaceutical company. It is engaged in serving patients with severe and ultra-rare disorders through the development and commercialization of life-transforming therapeutic products.
exchange,ALXN,Nasdaq Global Select
industry,ALXN,Biotechnology
sector,ALXN,Healthcare
website,ALXN,http://www.alexionpharm.com
ceo,ALGN,Joseph M. Hogan
companyName,ALGN,Align Technology Inc.
description,ALGN,"Align Technology Inc designs, manufactures and markets a system of clear aligner therapy, intra-oral scanners and CAD/CAM digital services used in dentistry, orthodontics, and dental records storage. Its segments are Clear Aligner and Scanners & Services."
exchange,ALGN,Nasdaq Global Select
industry,ALGN,Medical Devices
sector,ALGN,Healthcare
website,ALGN,http://www.aligntech.com
ceo,ALLE,David D. Petratis
companyName,ALLE,Allegion plc
description,ALLE,"Allegion PLC provides security products and solutions that keep people safe, secure and productive. Its products include door closers, exit devices, frames, biometrics, special surfaces, video surveillance, wireless connectivity, and cloud technology."
exchange,ALLE,New York Stock Exchange
industry,ALLE,Consulting & Outsourcing
sector,ALLE,Industrials
website,ALLE,http://www.allegion.com
ceo,AGN,Brenton L. Saunders
companyName,AGN,Allergan plc
description,AGN,"Allergan PLC is a specialty pharmaceutical company engaged in the development, manufacturing, marketing, and distribution of brand name pharmaceutical products, medical aesthetics, biosimilar and OTC pharmaceutical products."
exchange,AGN,New York Stock Exchange
industry,AGN,Drug Manufacturers
sector,AGN,Healthcare
website,AGN,http://www.allergan.com
ceo,ADS,Edward J. Heffernan
companyName,ADS,Alliance Data Systems Corporation
description,ADS,"Alliance Data Systems Corp provides marketing, loyalty, and credit solutions in the United States, Canada, and other countries. The business activity of the group is functioned through LoyaltyOne, Epsilon, and Card service segment."
exchange,ADS,New York Stock Exchange
industry,ADS,Credit Services
sector,ADS,Financial Services
website,ADS,http://www.alliancedata.com
ceo,LNT,Patricia L. Kampling
companyName,LNT,Alliant Energy Corporation
description,LNT,Alliant Energy Corp operates as a regulated investor-owned public utility holding company. It provides regulated electricity and natural gas services in the Midwest through its subsidiaries.
exchange,LNT,New York Stock Exchange
industry,LNT,Utilities - Regulated
sector,LNT,Utilities
website,LNT,http://www.alliantenergy.com
ceo,ALL,Thomas J. Wilson
companyName,ALL,Allstate Corporation (The)
description,ALL,"Allstate Corp, through its subsidiaries, is primarily engaged in the property-liability insurance business and the life insurance, retirement and investment products business. It offers its products in the United States and Canada."
exchange,ALL,New York Stock Exchange
industry,ALL,Insurance - Property & Casualty
sector,ALL,Financial Services
website,ALL,http://www.allstate.com
ceo,GOOGL,Larry Page
companyName,GOOGL,Alphabet Inc.
description,GOOGL,"Alphabet Inc is a provider of internet content products and portals. Its suite of brands includes Search, Android, YouTube, Apps, Maps & Ads."
exchange,GOOGL,Nasdaq Global Select
industry,GOOGL,Online Media
sector,GOOGL,Technology
website,GOOGL,https://www.abc.xyz
ceo,GOOG,Larry Page
companyName,GOOG,Alphabet Inc.
description,GOOG,"Alphabet Inc is a provider of internet content products and portals. Its suite of brands includes Search, Android, YouTube, Apps, Maps & Ads."
exchange,GOOG,Nasdaq Global Select
industry,GOOG,Online Media
sector,GOOG,Technology
website,GOOG,https://www.abc.xyz
ceo,MO,Martin J. Barrington
companyName,MO,Altria Group Inc.
description,MO,"Altria Group Inc along with its subsidiaries is engaged in the manufacture and sale of cigarettes, machine-made large cigars, pipe tobacco, smokeless tobacco products and wine."
exchange,MO,New York Stock Exchange
industry,MO,Tobacco Products
sector,MO,Consumer Defensive
website,MO,http://www.altria.com
ceo,AMZN,Jeffrey P. Bezos
companyName,AMZN,Amazon.com Inc.
description,AMZN,"Amazon.com Inc is an online retailer. The Company sells its products through the website which provides services, such as advertising services and co-branded credit card agreements. It also offers electronic devices like Kindle e-readers and Fire tablets."
exchange,AMZN,Nasdaq Global Select
industry,AMZN,Online Media
sector,AMZN,Technology
website,AMZN,http://www.amazon.com
ceo,AEE,Warner L. Baxter
companyName,AEE,Ameren Corporation
description,AEE,"Ameren Corp is an American power company. It operates a rate-regulated electric generation, transmission, and distribution business and a rate-regulated natural gas transmission and distribution business in Missouri and Illinois."
exchange,AEE,New York Stock Exchange
industry,AEE,Utilities - Regulated
sector,AEE,Utilities
website,AEE,http://www.ameren.com
ceo,AAL,W. Douglas Parker
companyName,AAL,American Airlines Group Inc.
description,AAL,"American Airlines Group Inc operates over 6,000 flights per day to more than 300 destinations across the world from hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix and Washington, D.C."
exchange,AAL,Nasdaq Global Select
industry,AAL,Airlines
sector,AAL,Industrials
website,AAL,http://www.aa.com
ceo,AEP,Nicholas K. Akins
companyName,AEP,American Electric Power Company Inc.
description,AEP,"American Electric Power Co Inc is a regulated utilities operator. The company generates, transmits and distributes electricity to more than 5 million retail customers across over 10 states in the United States of America."
exchange,AEP,New York Stock Exchange
industry,AEP,Utilities - Regulated
sector,AEP,Utilities
website,AEP,http://www.aep.com
ceo,AXP,Stephen J. Squeri
companyName,AXP,American Express Company
description,AXP,"American Express Co is a payments, network and travel company. It provides charge and credit card products, travel services, network services, stored value products, loans, and other products and services to businesses and individuals."
exchange,AXP,New York Stock Exchange
industry,AXP,Credit Services
sector,AXP,Financial Services
website,AXP,http://www.americanexpress.com
ceo,AIG,Brian Duperreault
companyName,AIG,American International Group Inc.
description,AIG,"American International Group Inc is an insurance company. The company through its subsidiaries provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services in the United States and abroad."
exchange,AIG,New York Stock Exchange
industry,AIG,Insurance
sector,AIG,Financial Services
website,AIG,http://www.aig.com
ceo,AMT,James D. Taiclet
companyName,AMT,American Tower Corporation (REIT)
description,AMT,"American Tower Corp is a real estate investment trust and an owner, operator and developer of multitenant communications real estate. The company leases the space of communications sites to wireless service providers, and wireless data providers."
exchange,AMT,New York Stock Exchange
industry,AMT,Communication Services
sector,AMT,Communication Services
website,AMT,http://www.americantower.com
ceo,AWK,Susan N. Story
companyName,AWK,American Water Works Company Inc.
description,AWK,"American Water Works Co Inc provides water and wastewater services to residential, commercial and industrial customers in the United States and Canada."
exchange,AWK,New York Stock Exchange
industry,AWK,Utilities - Regulated
sector,AWK,Utilities
website,AWK,http://www.amwater.com
ceo,AMP,James M. Cracchiolo
companyName,AMP,Ameriprise Financial Inc.
description,AMP,Ameriprise Financial Inc is a diversified financial services company. It offers products and services designed to achieve the financial objectives of individual and institutional clients. It also has the largest branded advisor networks in the industry.
exchange,AMP,New York Stock Exchange
industry,AMP,Asset Management
sector,AMP,Financial Services
website,AMP,http://www.ameriprise.com
ceo,ABC,Steven H. Collis
companyName,ABC,AmerisourceBergen Corporation
description,ABC,"AmerisourceBergen Corp is a pharmaceutical services company. It provides drug distribution and related healthcare services and solutions to pharmacy, physician, and manufacturer customers based in the United States and Canada."
exchange,ABC,New York Stock Exchange
industry,ABC,Medical Distribution
sector,ABC,Healthcare
website,ABC,http://www.amerisourcebergen.com
ceo,AME,David A. Zapico
companyName,AME,AMETEK Inc.
description,AME,"AMETEK Inc is a manufacturer of electronic instruments and electromechanical devices with operations in North America, Europe, Asia and South America."
exchange,AME,New York Stock Exchange
industry,AME,Computer Hardware
sector,AME,Technology
website,AME,http://www.ametek.com
ceo,AMGN,Robert A. Bradway
companyName,AMGN,Amgen Inc.
description,AMGN,"Amgen Inc is a U.S. based biotechnology company, with historical expertise in renal disease and cancer supportive care products. The firm discovers, develops, manufactures and delivers human therapeutics."
exchange,AMGN,Nasdaq Global Select
industry,AMGN,Biotechnology
sector,AMGN,Healthcare
website,AMGN,http://www.amgen.com
ceo,APH,Richard Adam Norwitt
companyName,APH,Amphenol Corporation
description,APH,"Amphenol Corp is engaged in the field of electronic components. It designs and manufactures electrical, electronic and fiber optic connectors, interconnect systems and coaxial and flat-ribbon cables."
exchange,APH,New York Stock Exchange
industry,APH,Computer Hardware
sector,APH,Technology
website,APH,http://www.amphenol.com
ceo,ADI,Vincent T. Roche
companyName,ADI,Analog Devices Inc.
description,ADI,"Analog Devices Inc is engaged in the semiconductor industry. Its business involves designing, manufacturing and marketing of high-performance analog, mixed-signal and digital signal processing integrated circuits used in all types of electronic equipment."
exchange,ADI,Nasdaq Global Select
industry,ADI,Semiconductors
sector,ADI,Technology
website,ADI,http://www.analog.com
ceo,ANSS,Ajei S. Gopal
companyName,ANSS,ANSYS Inc.
description,ANSS,"Ansys Inc functions in the software industry. It develops and markets engineering software and services catering to engineers, designers, researchers and students across a broad spectrum of industries and academia."
exchange,ANSS,Nasdaq Global Select
industry,ANSS,Application Software
sector,ANSS,Technology
website,ANSS,http://www.ansys.com
ceo,ANTM,Gail Koziara Boudreaux
companyName,ANTM,Anthem Inc.
description,ANTM,"Anthem Inc is a health benefits company offering a network-based managed care plans to the large and small employer, individual, Medicaid and Medicare markets. Its business segments are Commercial and Specialty Business, Government Business and Other."
exchange,ANTM,New York Stock Exchange
industry,ANTM,Health Care Plans
sector,ANTM,Healthcare
website,ANTM,http://www.antheminc.com
ceo,AON,Gregory C. Case
companyName,AON,Aon plc Class A (UK)
description,AON,"Aon PLC acts as a provider of risk management services, insurance and reinsurance brokerage, human resource consulting, and outsourcing solutions. The commercial risk solutions generate maximum revenue."
exchange,AON,New York Stock Exchange
industry,AON,Brokers & Exchanges
sector,AON,Financial Services
website,AON,http://www.aon.com
ceo,AOS,
companyName,AOS,A.O. Smith Corporation
description,AOS,"A.O. Smith Corp manufactures and markets water heaters and boilers, for residential and commercial end markets. The Company has two reporting segments; North America and Rest of World."
exchange,AOS,New York Stock Exchange
industry,AOS,Industrial Products
sector,AOS,Industrials
website,AOS,http://www.aosmith.com
ceo,APA,John J. Christmann
companyName,APA,Apache Corporation
description,APA,"Apache Corp is engaged in the oil & gas sector. As an independent energy company, its activities include exploration, development and production of natural gas, crude oil and natural gas liquids."
exchange,APA,New York Stock Exchange
industry,APA,Oil & Gas - E&P
sector,APA,Energy
website,APA,http://www.apachecorp.com
ceo,AIV,Terry Considine
companyName,AIV,Apartment Investment and Management Company
description,AIV,"Apartment Investment & Management Co is a self-administered and self-managed real estate investment trust, or REIT, engaged in the ownership and operation of a diversified portfolio of apartment properties."
exchange,AIV,New York Stock Exchange
industry,AIV,REITs
sector,AIV,Real Estate
website,AIV,http://www.aimco.com
ceo,AAPL,Timothy D. Cook
companyName,AAPL,Apple Inc.
description,AAPL,"Apple Inc is designs, manufactures and markets mobile communication and media devices and personal computers, and sells a variety of related software, services, accessories, networking solutions and third-party digital content and applications."
exchange,AAPL,Nasdaq Global Select
industry,AAPL,Computer Hardware
sector,AAPL,Technology
website,AAPL,http://www.apple.com
ceo,AMAT,Gary E. Dickerson
companyName,AMAT,Applied Materials Inc.
description,AMAT,"Applied Materials Inc is a supplier of semiconductor manufacturing equipment. It provides manufacturing equipment, services and software to the semiconductor, flat panel display, solar photovoltaic and related industries."
exchange,AMAT,Nasdaq Global Select
industry,AMAT,Semiconductors
sector,AMAT,Technology
website,AMAT,http://www.appliedmaterials.com
ceo,APTV,Kevin P. Clark
companyName,APTV,Aptiv PLC
description,APTV,"Aptiv PLC primarily supplies components and systems that are used to build a vehicle's electrical system. The company also provides body controls, infotainment and connectivity systems for the automobile industry."
exchange,APTV,New York Stock Exchange
industry,APTV,Autos
sector,APTV,Consumer Cyclical
website,APTV,http://www.aptiv.com
ceo,ADM,Juan R. Luciano
companyName,ADM,Archer-Daniels-Midland Company
description,ADM,"Archer-Daniels Midland Co is a major processor of oilseeds, corn, wheat, and other agricultural commodities. The company's end products include vegetable oil and meal, corn sweeteners, flour, feed ingredients, and ethanol."
exchange,ADM,New York Stock Exchange
industry,ADM,Consumer Packaged Goods
sector,ADM,Consumer Defensive
website,ADM,http://www.adm.com
